港澳频道,#genre#
翡翠台 1080P,http://103.172.187.30:12000/stream/mytv/null-1/master.m3u8
翡翠台 4K,http://r.jdshipin.com/n90gt
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://r.jdshipin.com/GeWKr
翡翠台,http://r.jdshipin.com/thuYX
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
无线新闻台,http://r.jdshipin.com/CkuBd
无线新闻台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=wxxw
TVB Plus,http://r.jdshipin.com/Nr5jq
TVB 星河,http://r.jdshipin.com/sXuuD


台湾频道,#genre#
TVBS 新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS Asia,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
纬来精采台,http://61.221.215.25:8800/hls/48/index.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
