体育精选,#genre#
CCTV5,http://112.30.73.119:9901/tsfile/live/0005_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,https://live.264788.xyz/channel/cctv5?livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV5+,http://112.30.73.119:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://112.30.73.119:9901/tsfile/live/0006_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,https://live.264788.xyz/channel/cctv5plus?livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
广东体育,https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8
广东体育,http://r.jdshipin.com/LiYdg
纬来体育,https://epg.pw/stream/8855a9936e37e608a0ec8a014cce1673dee9c5d68d560da376cc92e5edef2b25.m3u8

香港专区,#genre#
翡翠台 1080P,http://103.172.187.30:12000/stream/mytv/null-1/master.m3u8
翡翠台 4K,http://r.jdshipin.com/n90gt
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/GeWKr
翡翠台,http://r.jdshipin.com/thuYX
翡翠台,http://r.jdshipin.com/62WM7
无线新闻台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=wxxw
无线新闻台,http://r.jdshipin.com/CkuBd
TVB Plus,http://r.jdshipin.com/ndGgS
TVB Plus,http://r.jdshipin.com/Nr5jq
TVB 星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB 星河,http://r.jdshipin.com/Voac4
TVB 星河,http://r.jdshipin.com/sXuuD

台湾专区,#genre#
TVBS 新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS Asia,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
纬来精采台,http://61.221.215.25:8800/hls/48/index.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
